Fossavatnsgangan	nvengs
báru	sfg3fþ
til	af
merkis	nhee
um	af
andstöðu	nveo
sína	feveo
við	af
Arroyo	n----s
forseta	nkeo
.	pl

Estrada	n----s
hefur	sfg3en
hins	fakee
vegar	nkee
neitað	sþghen
að	c
hann	fpken
og	c
menn	nkfn
hans	fpkee
hafi	svg3fn
átt	sþghen
þátt	nkeo
í	af
uppreisninni	nveþg
og	c
fullyrðir	sfg3en
að	c
stjórnin	nveng
hafi	svg3en
komið	sþghen
sönnunargögnum	nhfþ
fyrir	aa
á	af
heimilum	nhfþ
þeirra	fpkfe
.	pl

Arroyo	n----s
hefur	sfg3en
verið	sþghen
í	af
embætti	nheþ
frá	af
því	fpheþ
í	af
janúar	nkeþ
2001	ta
eða	c
síðan	aa
Estrada	n----s
hrökklaðist	sfm3eþ
frá	aa
sökum	af
spillingar	nvee
.	pl

Veldur	sfg3en
óvissu	nveþ
á	af
mörkuðum	nkfþ
Þrátt	aa
fyrir	af
að	c
uppreisninni	nveþg
hafi	svg3en
lokið	sþghen
friðsamlega	aa
lækkuðu	sfg3fþ
verðbréf	nhfn
og	c
gjaldmiðill	nken
landsins	nheeg
veiktist	sfm3eþ
í	aa
gær	aa
.	pl

Atvikið	nheng
hefur	sfg3en
valdið	sþghen
óvissu	nveþ
á	af
fjármálamarkaðinum	nkeþg
en	c
efnahagur	nken
landsins	nheeg
er	sfg3en
bágur	lkensf
.	pl

Arroyo	n----s
lofaði	sfg3eþ
í	af
ávarpi	nheþ
sínu	feheþ
að	cn
skipa	sng
nefnd	nveo
sem	ct
myndi	svg3eþ
rannsaka	sng
ástæður	nvfo
uppreisnarinnar	nveeg
og	c
skoða	sng
málefni	nhfo
hermannanna	nkfeg
.	pl

Þeir	fpkfn
sneru	sfg3fþ
aftur	aa
til	af
híbýla	nhfe
sinna	fehfe
eftir	af
uppreisnina	nveog
en	c
kváðust	sfm3fþ
tilbúnir	lkfnsf
til	af
að	cn
svara	sng
til	af
saka	nvfe
.	pl

Manila	n----s
.	pl

AP	n----s
.	pl

Árangurslausar	lvfnsf
yfirheyrslur	nvfn
um	af
vopnaeign	nveo
Íraka	nkfe-s
:	pa
BANDARÍKJASTJÓRN	nveþ-s
hefur	sfg3en
,	pk
þrátt	aa
fyrir	af
mikla	lveosf
leit	nveo
,	pk
enn	aa
ekki	aa
tekist	sþmhen
að	cn
hafa	sng
upp	aa
á	af
háttsettum	lkfþsf
íröskum	lkfþsf
vísindamönnum	nkfþ
sem	ct
geta	sfg3fn
stutt	sþghen
þá	faveo
réttlætingu	nveo
þeirra	fpkfe
fyrir	af
Íraksstríðinu	nheþgs
að	c
Saddam	n----s
Hussein	n----s
,	pk
fyrrverandi	lkenof
Íraksforseti	nken-s
,	pk
hafi	svg3en
ráðið	sþghen
yfir	af
ólöglegum	lhfþsf
gereyðingarvopnum	nhfþ
.	pl

Þetta	fahen
kemur	sfg3en
fram	aa
í	af
vefútgáfu	nveþ
Washington	n----s
Post	e
í	aa
gær	aa
.	pl

Að	af
því	fpheþ
er	ct
háttsettir	lkfnsf
bandarískir	lkfnsf
embættismenn	nkfn
og	c
þingmenn	nkfn
greina	sfg3fn
frá	aa
hefur	sfg3en
enginn	foken
þeirra	fakfe
fjögurra	tfkfe
háttsettu	lkfeof
írösku	lkfevf
vísindamanna	nkfe
,	pk
né	c
fjöldi	nken
lægra	aam
settra	lkfesf
vísindamanna	nkfe
,	pk
sem	ct
fulltrúar	nkfn
Bandaríkjastjórnar	nvee-s
hafa	sfg3fn
yfirheyrt	sþghen
getað	sþghen
rennt	sþghen
stoðum	nvfþ
undir	af
fullyrðingar	nvfo
Bandaríkjamanna	nkfe-s
um	af
að	c
Saddam	n----s
Hussein	n----s
hafi	svg3en
unnið	sþghen
að	af
umfangsmikilli	lveþsf
gereyðingarvopnaáætlun	nveþ
.	pl

Að	af
sögn	nveþ
embættismannanna	nkfeg
er	sfg3en
þetta	fahen
raunin	nveng
þrátt	aa
fyrir	af
að	c
yfirheyrslurnar	nvfng
hafi	svg3fn
farið	sþghen
fram	aa
við	af
afar	aa
ólíkar	lvfosf
aðstæður	nvfo
.	pl

Það	fphen
er	sfg3en
,	pk
sumir	fokfn
vísindamennirnir	nkfng
hafa	sfg3fn
af	af
fúsum	lkeþsf
vilja	nkeþ
fallist	sþmhen
á	af
að	cn
veita	sng
upplýsingar	nvfo
á	aa
meðan	c
aðrir	fokfn
hafa	sfg3fn
verið	sþghen
yfirheyrðir	sþgkfn
í	af
gæsluvarðhaldi	nheþ
.	pl

Allir	fokfn
eiga	sfg3fn
vísindamennirnir	nkfng
það	fpheo
sameiginlegt	lheosf
að	cn
halda	sng
því	fpheþ
fram	aa
að	c
frá	af
árinu	nheþg
1998	ta
,	pk
þegar	c
eftirlitsmenn	nkfn
Sameinuðu	lvfevf
þjóðanna	nvfeg
yfirgáfu	sfg3fþ
Írak	nheo-s
,	pk
hafi	svg3en
engar	fovfn
áætlanir	nvfn
verið	sþghen
um	af
framleiðslu	nveo
kjarnavopna	nhfe
í	af
landinu	nheþg
.	pl

Þá	aa
neita	sfg3fn
þeir	fpkfn
því	fpheþ
jafnframt	aa
allir	fokfn
að	c
sýkla-	kt
og	c
efnavopn	nhfn
hafi	svg3en
verið	sþghen
framleidd	sþghfn
eða	c
falin	sþghfn
í	af
landinu	nheþg
síðustu	lhfove
árin	nhfog
.	pl

Menn	nkfn
nánir	lkfnsf
Saddam	n----s
handteknir	sþgkfn
:	pa
TVEIR	tfkfn
nánir	lkfnsf
samstarfsmenn	nkfn
Saddams	n----s
Husseins	n----s
fyrrverandi	lkeeof
Íraksforseta	nkee-s
voru	sfg3fþ
teknir	sþgkfn
höndum	nvfþ
í	af
áhlaupi	nheþ
bandarískra	lkfesf
sérsveitarhermanna	nkfe
á	af
hús	nheo
í	af
fæðingarborg	nveþ
hans	fpkee
,	pk
Tikrit	n----s
,	pk
í	aa
gær	aa
.	pl

Greindi	sfg3eþ
talsmaður	nken
Bandaríkjahers	nkee-s
frá	af
þessu	faheþ
í	aa
gær	aa
.	pl

Mennirnir	nkfng
tveir	tfkfn
,	pk
sem	ct
að	af
svo	aa
komnu	lheþsf
máli	nheþ
var	sfg3eþ
ekki	aa
upplýst	sþghen
meira	lheovm
um	aa
en	c
að	c
þeir	fpkfn
hefðu	svg3fþ
verið	sþghen
háttsettir	lkfnsf
í	af
Baath-flokki	nkeþ-s
Saddams	n----s
,	pk
voru	sfg3fþ
handsamaðir	sþgkfn
um	aa
kl.	ks
fjögur	tfhfo
síðdegis	nhee
í	aa
gær	aa
að	af
staðartíma	nkeþ
.	pl

Var	sfg3eþ
herþyrlum	nvfþ
beitt	sþghen
í	af
aðgerðinni	nveþg
.	pl

Robert	n----s
Isabella	n----s
,	pk
talsmaður	nken
Bandaríkjahers	nkee-s
í	af
Írak	nheþ-s
,	pk
staðfesti	sfg3eþ
síðar	aam
:	pa

Þetta	fahen
voru	sfg3fþ
nánir	lkfnsf
samstarfsmenn	nkfn
Saddams	n----s
Husseins	n----s
.	pl

Richard	n----s
Boucher	n----s
,	pk
talsmaður	nken
bandaríska	lheevf
utanríkisráðuneytisins	nheeg
,	pk
sagði	sfg3eþ
í	aa
gær	aa
að	c
ef	c
takast	snm
myndi	svg3eþ
að	cn
hafa	sng
hendur	nvfo
í	af
hári	nheþ
Saddams	n----s
Husseins	n----s
sjálfs	fbkee
bæri	svg3eþ
að	cn
láta	sng
hann	fpkeo
svara	sng
til	af
saka	nvfe
fyrir	af
íröskum	lkeþsf
dómstól	nkeþ
.	pl

Tikrit	n----s
,	pk
Washington	n----s
.	pl

AFP	n----s
,	pk
AP	n----s
.	pl

Bandaríkjamenn	nkfn-s
íhuga	sfg3fn
refsiaðgerðir	nvfo
:	pa
TALSMAÐUR	nken-s
utanríkisráðuneytis	nhee
Bandaríkjanna	nhfegs
,	pk
Philip	n----s
Reeker	n----s
,	pk
staðfesti	sfg3eþ
í	aa
gær	aa
að	c
svo	aa
gæti	svg3eþ
farið	sþghen
að	c
Ísraelum	nkfþ-s
yrði	svg3eþ
refsað	sþghen
ef	c
þeir	fpkfn
héldu	svg3fþ
áfram	aa
byggingu	nveþ
öryggismúrs	nhee
milli	af
Ísraels	nhee-s
og	c
svæða	nhfe
Palestínumanna	nkfe-s
á	af
Vesturbakkanum	nkeþgs
.	pl

Ekki	aa
hefði	svg3eþ
þó	aa
verið	sþghen
tekin	sþgven
ákvörðun	nven
í	af
þessum	fahfþ
efnum	nhfþ
.	pl

Bandaríkjamenn	nkfn-s
telja	sfg3fn
að	c
múrinn	nkeog
geti	svg3en
grafið	sþghen
undan	af
friðarviðleitninni	nveþg
í	af
deilum	nvfþ
Ísraela	nkfe-s
og	c
Palestínumanna	nkfe-s
.	pl

Ísraelsstjórn	nven-s
sleppti	sfg3eþ
í	aa
gær	aa
úr	af
haldi	nheþ
meira	lheþvm
en	c
300	ta
palestínskum	lkfþsf
föngum	nkfþ
og	c
var	sfg3eþ
þeim	fpkfþ
ákaft	aa
fagnað	sþghen
af	af
ættingjum	nkfþ
á	af
Vesturbakkanum	nkeþgs
og	c
Gaza	n----s
.	pl

Ég	fp1en
hef	sfg1en
saknað	sþghen
þín	fp2ee
,	pk
faðir	nken
minn	feken
.	pl

Ég	fp1en
vildi	svg1eþ
óska	sng
að	c
móðir	nven
mín	feven
væri	svg3eþ
enn	aa
á	af
lífi	nheþ
,	pk
þá	aa
gæti	svg3eþ
hún	fpven
séð	sþghen
mig	fp1eo
og	c
orðið	sþghen
hamingjusöm	lvensf
,	pk
sagði	sfg3eþ
Hussein	n----s
Abu	n----s
Eid	n----s
,	pk
32	ta
ára	nhfe
gamall	lkensf
maður	nken
.	pl

Hann	fpken
hefur	sfg3en
setið	sþghen
inni	aa
í	af
13	ta
ár	nhfo
vegna	af
aðildar	nvee
að	af
herskáum	lkeþsf
hópi	nkeþ
hryðjuverkamanna	nkfe
,	pk
Íslamska	lheevf
Jihad	n----s
.	pl

En	c
margir	lkfnsf
Palestínumenn	nkfn-s
sögðu	sfg3fþ
að	c
um	af
væri	svg3eþ
að	cn
ræða	sng
látalæti	nhfo
Ísraela	nkfe-s
sem	ct
hefðu	svg3fþ
ekki	aa
staðið	sþghen
við	af
loforð	nhfo
um	af
að	cn
láta	sng
flesta	lkfose
fanga	nkfo
lausa	lkfosf
.	pl

Nær	aam
6.000	ta
Palestínumenn	nkfn-s
eru	sfg3fn
enn	aa
í	af
ísraelskum	lhfþsf
fangelsum	nhfþ
,	pk
sumir	fokfn
sakaðir	lkfnsf
um	af
beina	lveosf
þátttöku	nveo
í	af
hryðjuverkum	nhfþ
en	c
aðrir	fokfn
fyrir	af
minni	lvfovm
sakir	nvfo
.	pl

Ísraelskir	lkfnsf
hermenn	nkfn
réðust	sfm3fþ
inn	aa
í	af
borgina	nveog
Jeríkó	n----s
á	af
Vesturbakkanum	nkeþgs
í	aa
gær	aa
og	c
handtóku	sfg3fþ
þar	aa
18	ta
liðsforingja	nkfo
í	af
öryggisþjónustu	nveþ
stjórnar	nvee
Palestínumanna	nkfe-s
.	pl

Lýst	sþghen
var	sfg3eþ
yfir	af
útgöngubanni	nheþ
í	af
borginni	nveþg
.	pl

Þjálfunarstöð	nven
er	sfg3en
í	af
Jeríkó	n----s
fyrir	af
liðsmenn	nkfo
í	af
sérsveit	nveþ
er	ct
nefnist	sfm3en
Lið	nhen-s
17	ta
og	c
tengist	sfm3en
Yasser	n----s
Arafat	n----s
,	pk
leiðtoga	nkeþ-s
Palestínumanna	nkfe-s
.	pl

Hugmynd	nveþ
um	af
refsingar	nvfo
mótmælt	sþghen
Hugmyndinni	nveþgs
um	af
viðskiptalegar	lvfosf
refsiaðgerðir	nvfo
var	sfg3eþ
þegar	aa
andmælt	sþgvfn
í	af
Bandaríkjunum	nhfþgs
af	af
áhrifamiklum	lkfþsf
þingmönnum	nkfþ
sem	ct
styðja	sfg3fn
Ísrael	nheo-s
.	pl

Öldungadeildarþingmaðurinn	nkeng
Joe	n----s
Lieberman	n----s
,	pk
sem	ct
keppir	sfg3en
að	af
því	fpheþ
að	cn
verða	sng
útnefndur	sþgken
forsetaefni	nhen
demókrata	nkfe
,	pk
hvatti	sfg3eþ
George	n----s
W	n----s
Bush	n----s
forseta	nkeo
til	af
að	cn
hafna	sng
slíkum	fbvfþ
hugmyndum	nvfþ
.	pl

Að	af
sögn	nveþ
háttsetts	lkeesf
bandarísks	lkeesf
embættismanns	nkee
,	pk
sem	ct
ekki	aa
vildi	sfg3eþ
láta	sng
nafns	nhee
síns	fehee
getið	sþghen
,	pk
myndi	svg3eþ
refsing	nven
Bandaríkjamanna	nkfe-s
að	af
öllum	fohfþ
líkindum	nhfþ
felast	snm
í	af
því	fpheþ
að	cn
skerða	sng
lán	nheo
,	pk
sem	ct
Bandaríkjastjórn	nven-s
hefur	sfg3en
lofað	sþghen
Ísraelum	nkfþ-s
,	pk
um	af
fjárhæð	nveo
sem	ct
nemur	sfg3en
þeirri	faveþ
upphæð	nveþ
sem	ct
bygging	nven
múrsins	nkeeg
kostar	sfg3en
.	pl

Múrinn	nkeng
á	sfg3en
að	cn
fylgja	sng
nokkurn	fokeo
veginn	nkeog
landamærunum	nhfþg
eins	aa
og	c
þau	fphfn
voru	sfg3fþ
fyrir	af
sex	tfkfe
daga	nkfe
stríðið	nheog
1967	ta
en	c
sums	fokee
staðar	nkee
á	sfg3en
hann	fpken
samt	aa
að	cn
verða	sng
á	af
svæðum	nhfþ
Palestínumanna	nkfe-s
og	c
skerða	sng
því	aa
enn	aa
land	nheo
þeirra	fpkfe
.	pl

Colin	n----s
Powell	n----s
,	pk
utanríkisráðherra	nken
Bandaríkjanna	nhfegs
,	pk
sagðist	sfm3eþ
í	af
viðtali	nheþ
við	af
Sawa	n----s
,	pk
stöð	nven
sem	ct
útvarpar	sfg3en
á	af
arabísku	nveþ
í	af
Mið-Austurlöndum	nhfþ-s
og	c
er	sfg3en
styrkt	sþgven
af	af
bandarískum	lhfþsf
yfirvöldum	nhfþ
,	pk
hafa	sng
áhyggjur	nvfo
af	af
því	fpheþ
að	c
múrinn	nkeog
næði	svg3eþ
sums	fokee
staðar	nkee
yfir	aa
á	af
yfirráðasvæði	nheo
Palestínumanna	nkfe-s
.	pl

Washington	n----s
,	pk
Jerúsalem	nven-s
.	pl

AFP	n----s
,	pk
AP	n----s
.	pl

1	ta
.	pl

Veturinn	nkengs
þreifaði	sfg3eþ
fyrir	af
sér	fpkeþ
,	pk
þegar	c
fundum	nkfþ
okkar	fp1fe
skáldsins	nheeg
bar	sfg3eþ
saman	aa
.	pl

Hann	fpken
stóð	sfg3eþ
brosandi	lkenof
á	af
tröppunum	nvfþg
með	af
sverð	nheo
gegnum	af
varir	nvfo
.	pl

Hvernig	aa
finnst	sfm3en
honum	fpkeþ
að	cn
fá	sng
þessa	faveo
mynd	nveo
af	af
sér	fpkeþ
upp	aa
í	af
hendurnar	nvfog
?	pl

Þakka	sfg1en
þér	fp2eþ
fyrir	aa
.	pl

Það	fphen
er	sfg3en
góð	lvensf
tilfinning	nven
,	pk
sagði	sfg3eþ
skáldið	nheng
.	pl

Gakktu	sbg2en
í	af
bæinn	nkeog
.	pl

Ljóðasafn	nhen
er	sfg3en
eins	aa
og	c
að	cn
líta	sng
um	af
öxl	nveo
,	pk
ég	fp1en
fór	sfg1eþ
að	cn
vega	sng
og	c
meta	sng
svo	aa
margt	lheosf
.	pl

Mest	aae
hugsaði	sfg1eþ
ég	fp1en
um	af
eldri	lvfovm
bækurnar	nvfog
og	c
þá	aa
aðallega	aa
þær	favfo
fyrstu	lvfove
.	pl

Aungull	nken-s
í	af
tímann	nkeog
fékk	sfg3eþ
mjög	aa
góðar	lvfosf
viðtökur	nvfo
,	pk
en	c
Undarlegir	lkfnsf
fiskar	nkfn-s
urðu	sfg3fþ
að	cn
synda	sng
gegn	af
straumnum	nkeþg
og	c
menn	nkfn
áttuðu	sfg3fþ
sig	fpkfo
ekki	aa
á	af
Malbikuðum	lhfþsf
hjörtum	nhfþ-s
.	pl

Þeir	fpkfn
vildu	sfg3fþ
bara	aa
hafa	sng
mig	fp1eo
eins	aa
og	c
ég	fp1en
var	sfg1eþ
í	af
fyrstu	lveþve
bókinni	nveþg
;	pk
ég	fp1en
átti	sfg1eþ
alltaf	aa
að	cn
vera	sng
sautján	tfhfe
ára	nhfe
.	pl

Í	af
fyrstu	lveþve
bókinni	nveþg
og	c
að	af
stórum	lkeþsf
hluta	nkeþ
í	af
þeirri	faveþ
annarri	foveþ
eru	sfg3fn
ljóðin	nhfng
ekki	aa
torræð	lhfnsf
með	af
neinum	fokeþ
hætti	nkeþ
.	pl

En	c
í	af
súrrealísku	lhfþvf
ljóðunum	nhfþg
komu	sfg3fþ
myndgerð	nven
og	c
málbeiting	nven
,	pk
sem	ct
lítið	lhensf
var	sfg3eþ
af	aa
í	af
íslenzkri	lveþsf
ljóðagerð	nveþ
.	pl

Hann	fpken
sagðist	sfm3eþ
hafa	sng
lesið	sþghen
súrrealísku	lhfovf
ljóðskáldin	nhfog
,	pk
frönsk	lhfosf
og	c
spænsk	lhfosf
og	c
nefndi	sfg3eþ
Lorca	n----s
.	pl

Og	c
myndlistin	nveng
hreif	sfg3eþ
hann	fpkeo
.	pl

Hann	fpken
var	sfg3eþ
eins	aa
og	c
grár	lkensf
köttur	nken
á	af
listasöfnum	nhfþ
,	pk
drakk	sfg3eþ
í	af
sig	fpkeo
liti	nkfo
með	af
ljóðunum	nhfþg
.	pl

Hér	aa
heima	aa
var	sfg3eþ
hann	fpken
í	af
tveggja	tfkfe
manna	nkfe
klíku	nveþ
með	af
Alfreði	nkeþ-s
Flóka	nkeþ-s
.	pl

Það	fphen
fannst	sfm3eþ
þeim	fpkfþ
hæfilegur	lkensf
fjöldi	nken
fyrir	af
þjóðina	nveog
!	pl

Þeir	fpkfn
voru	sfg3fþ
óaðskiljanlegir	lkfnsf
,	pk
súrrealískir	lkfnsf
síamstvíburar	nkfn
.	pl

Svo	aa
skildi	sfg3eþ
dauðinn	nkeng
þá	fpkfo
að	aa
.	pl

Nú	aa
segist	sfm3en
skáldið	nheng
ekki	aa
gera	sng
sér	fpheþ
fulla	lveosf
grein	nveo
fyrir	af
breytingunum	nvfþg
í	af
Mig	fp1eo
hefur	sfg3en
dreymt	sþghen
þetta	faheo
áður	aa
.	pl

Súrrealismanum	nkeþg
bregður	sfg3en
fyrir	aa
,	pk
en	c
ljóðin	nhfng
eru	sfg3fn
í	af
meira	lheþvm
jafnvægi	nheþ
en	c
áður	aa
,	pk
það	fphen
er	sfg3en
tilhneiging	nven
til	af
klassískari	lhfevm
ljóða	nhfe
og	c
í	af
þeim	fphfþ
heimspeki	nven
og	c
tilvistarlegur	lkensf
tónn	nken
.	pl

Ragnheiður	nven-s
var	sfg3eþ
komin	sþgven
inn	aa
í	af
líf	nheo
hans	fpkee
með	af
bragð	nheo
af	af
tungli	nheþ
,	pk
bragð	nheo
af	af
geislum	nkfþ
,	pk
ætli	svg3en
hann	fpken
væri	svg3eþ
enn	aa
súrrealisti	nken
án	af
hennar	fpvee
?	pl

Eitthvað	fohen
kom	sfg3eþ
nú	aa
Camus	n----s
þarna	aa
líka	aa
við	af
sögu	nveo
,	pk
með	af
Útlendingnum	nkeþgs
og	c
Plágunni	nveþgs
,	pk
Fallinu	nheþgs
og	c
Uppreisnarmanninum	nkeþgs
,	pk
að	c
ógleymdri	lveþsf
Goðsögninni	nveþgs
um	af
Sisyfos	n----s
.	pl

Sisyfos	n----s
settist	sfm3eþ
að	af
skáldinu	nheþg
,	pk
velti	sfg3eþ
steininum	nkeþg
upp	aa
fjallið	nheog
,	pk
til	af
þess	fphee
að	cn
missa	sng
hann	fpkeo
við	af
brún	nveo
og	c
verða	sng
að	cn
byrja	sng
upp	aa
á	af
nýtt	lheosf
.	pl

Það	fphen
var	sfg3eþ
þrátt	aa
fyrir	af
allt	foheo
hamingja	nven
.	pl

Í	af
Malbikuðum	lhfþsf
hjörtum	nhfþ
er	sfg3en
ljóð	nhen
um	af
Albert	nkeo-s
Camus	n----s
,	pk
en	c
ekki	aa
Jean	n----s
Paul	n----s
Sartre	n----s
.	pl

Sartre	n----s
var	sfg3eþ
alla	foveo
tíð	nveo
mikill	lkensf
vinstrisinni	nken
,	pk
þrátt	aa
fyrir	af
uppsteit	nveo
gegn	af
flokknum	nkeþg
,	pk
en	c
Camus	n----s
gaf	sfg3eþ
gaum	nkeo
að	af
klassískari	lhfþvm
efnum	nhfþ
og	c
efnum	nhfþ
af	af
trúarlegum	lkeþsf
toga	nkeþ
.	pl

Skáldinu	nheþg
fannst	sfm3eþ
Camus	n----s
standa	sng
sér	fpkeþ
nær	afm
.	pl

Áður	aa
hafði	sfg3eþ
skáldið	nheng
staðið	sþghen
Sartre	n----s
nær	afm
,	pk
en	c
skipti	sfg3eþ
um	af
skoðun	nveo
.	pl

Það	fphen
var	sfg3eþ
allt	fohen
að	af
því	fpheþ
dauðadómur	nken
að	cn
freista	sng
þess	fphee
að	cn
fara	sng
frá	af
vinstri	lveþvf
,	pk
sagði	sfg3eþ
hann	fpken
.	pl

Svo	aa
harðir	lkfnsf
og	c
ósvífnir	lkfnsf
voru	sfg3fþ
þeir	fakfn
tímar	nkfn
hér	aa
heima	aa
.	pl

2	ta
.	pl

Hann	fpken
vildi	sfg3eþ
uppreisn	nveo
í	af
hugmyndafræði	nveþ
og	c
skáldskap	nkeþ
.	pl

Hann	fpken
horfði	sfg3eþ
á	af
eldri	lhfovm
atómskáldin	nhfog
yrkja	sng
sig	fphfo
inn	aa
á	af
akademískar	lvfosf
brautir	nvfo
,	pk
en	c
sjálfur	fbken
vildi	sfg3eþ
hann	fpken
koma	sng
til	af
móts	nhee
við	af
heimildaskáldskapinn	nkeog
.	pl

Á	af
stofuveggnum	nkeþg
hangir	sfg3en
mynd	nven
.	pl

Mér	fp1eþ
er	sfg3en
sagt	sþghen
að	c
hún	fpven
sé	svg3en
af	af
langafa	nkeþ
,	pk
sem	ct
ég	fp1en
veit	sfg1en
að	c
fór	sfg3eþ
aldrei	aa
til	af
ljósmyndara	nkee
.	pl

Svo	aa
birtust	sfm3fþ
fleiri	lvfnvm
bækur	nvfn
á	af
sömu	fbvfþ
nótum	nvfþ
;	pk
Dagbók	nven-s
borgaralegs	lheesf
skálds	nhee
og	c
Frá	af
Umsvölum	nvfþ-s
.	pl

Hann	fpken
kallaði	sfg3eþ
þær	fpvfo
ljóðsögur	nvfo
.	pl

Þær	fpvfn
voru	sfg3fþ
kannski	aa
skrifaðar	sþgvfn
fyrir	af
þá	fakfo
,	pk
sem	ct
ekki	aa
lásu	sfg3fþ
ljóð	nhfo
,	pk
eins	fokee
konar	nkee
andljóð	nhfn
.	pl

En	c
þær	fpvfn
urðu	sfg3fþ
skáldinu	nheþg
þrautin	nveng
þyngri	lvenvm
,	pk
því	fpheþ
í	af
heimildaskáldskap	nkeþ
er	sfg3en
hætta	nven
á	af
að	cn
ganga	sng
of	aa
langt	aa
.	pl

Skáldið	nheng
ákvað	sfg3eþ
að	cn
taka	sng
sér	fpheþ
hlé	nheo
.	pl

Taldi	sfg3eþ
,	pk
að	c
hann	fpken
væri	svg3eþ
búinn	lkensf
að	cn
yrkja	sng
nóg	lheosf
,	pk
og	c
honum	fpkeþ
kom	sfg3eþ
til	af
hugar	nkee
að	cn
hætta	sng
.	pl

En	c
auðvitað	aa
tókst	sfm3eþ
það	fphen
ekki	aa
.	pl

Reyndar	aa
sleppti	sfg3eþ
hann	fpken
aldrei	aa
hendinni	nveþg
af	af
ljóðinu	nheþg
,	pk
þau	fphfn
stóðu	sfg3fþ
stök	lhfnsf
upp	aa
úr	af
prósanum	nkeþg
og	c
skáldið	nheng
stiklaði	sfg3eþ
þau	fphfo
til	af
baka	nhfe
,	pk
en	c
nú	aa
með	af
klassíska	lveosf
kápu	nveo
á	af
herðunum	nvfþg
.	pl

3	ta
.	pl

Það	fphen
var	sfg3eþ
skrýtið	lhensf
að	cn
sitja	sng
hjá	af
skáldinu	nheþg
og	c
skoða	sng
lífshlaup	nheo
hans	fpkee
.	pl

Býr	sfg3en
virkilega	aa
uppreisnarmaður	nken
hér	aa
?	pl

Þetta	fahen
er	sfg3en
rólegheita	nhfe
sála	nven
að	cn
sjá	sng
!	pl

Hann	fpken
hló	sfg3eþ
og	c
talaði	sfg3eþ
um	af
lífsins	nheeg
margvíslegu	lkfovf
kafla	nkfo
.	pl

Ég	fp1en
hef	sfg1en
alltaf	aa
viljað	sþghen
horfast	snm
í	af
augu	nhfo
við	af
sjálfan	fbkeo
mig	fp1eo
.	pl

Það	fphen
hefur	sfg3en
vonandi	aa
aldrei	aa
verið	sþghen
nein	foven
kyrrstaða	nven
.	pl

4	ta
.	pl

Í	af
ljóðaúrvalinu	nheþg
flögrar	sfg3en
fortíðin	nveng
hjá	af
honum	fpkeþ
.	pl

Ég	fp1en
hef	sfg1en
verið	sþghen
að	cn
hugsa	sng
um	af
eitt	foheo
og	c
annað	foheo
og	c
helzt	aae
að	cn
endurmeta	sng
súrrealíska	lheovf
tímabilið	nheog
.	pl

Ég	fp1en
hefði	svg1eþ
hugsanlega	aa
getað	sþghen
gengið	sþghen
lengra	aam
í	af
því	fpheþ
.	pl

En	c
eitthvað	fohen
hélt	sfg3eþ
aftur	aa
af	af
mér	fp1eþ
og	c
önnur	fohfn
áhugaefni	nhfn
tóku	sfg3fþ
við	aa
;	pk
tilvistarstefnan	nveng
varð	sfg3eþ
ágeng	lvensf
.	pl

Núna	aa
gerði	sfg1eþ
ég	fp1en
örfáar	lvfosf
orðalagsbreytingar	nvfo
í	af
elztu	lvfþve
bókunum	nvfþg
.	pl

Maður	nken
áttar	sfg3en
sig	fpkeo
alltaf	aa
á	af
einhverju	foheþ
,	pk
sem	ct
orða	sng
má	sfg3en
betur	aam
,	pk
það	fphen
situr	sfg3en
í	af
kollinum	nkeþg
og	c
kallar	sfg3en
til	af
þín	fp2ee
,	pk
þegar	c
tækifærið	nheng
gefst	sfm3en
.	pl

En	c
auðvitað	aa
er	sfg3en
svona	aa
bók	nven
gerð	sþgven
fyrir	af
lesandann	nkeog
,	pk
en	c
ekki	aa
höfundinn	nkeog
.	pl

Þetta	fahen
er	sfg3en
mynd	nven
Þrastar	nkee-s
af	af
mér	fp1eþ
.	pl

Sjálfur	fbken
hefði	svg1eþ
ég	fp1en
valið	sþghen
örlítið	aa
öðruvísi	aa
.	pl

En	c
þetta	fahen
er	sfg3en
mynd	nven
,	pk
sem	ct
ég	fp1en
get	sfg1en
vel	aa
verið	sþghen
sáttur	lkensf
við	aa
.	pl

Finnar	nkfn-s
fengu	sfg3fþ
á	af
dögunum	nkfþg
aðra	foveo
mynd	nveo
af	af
honum	fpkeþ
:	pa
Brim	nhen-s
Íshafsins	nheegs
er	sfg3en
sýnisbók	nven
með	af
klassísku	lheþsf
og	c
módernísku	lheþsf
yfirbragði	nheþ
,	pk
sagði	sfg3eþ
hann	fpken
.	pl

Sú	faven
bók	nven
spannar	sfg3en
ekki	aa
allan	fokeo
skáldferilinn	nkeog
og	c
heimildaljóðin	nhfng
voru	sfg3fþ
flest	lhfnse
viljandi	aa
skilin	sþghfn
út	aa
undan	aa
.	pl

Samt	aa
dregur	sfg3en
bókin	nveng
nafn	nheo
af	af
ljóði	nheþ
Frá	af
Umsvölum	nvfþ-s
.	pl

Hann	fpken
sagðist	sfm3eþ
hafa	sng
lesið	sþghen
í	af
sænskri	lveþsf
