-	pa
ókeypis	aa
fyri	aa
at	cn
stuðla	sng
Grímu	nveo
.	pl

Í	af
fyrsta	lheþve
umfari	nheþ
er	svg3en
talan	nven
um	af
seks	tf
børn	nhfo
í	af
1.	ta	UNKNOWN
,	pk
2.	ta	UNKNOWN
,	pk
og	c
4.	ta	UNKNOWN
flokki	nkeþ
,	pk
sum	ct
eftir	af
skúlatíð	nveþ
fara	svg3fn
í	af
Bridgehúsið	nheog	UNKNOWN
í	af
Havn	nveþ-s
,	pk
ið	ct
hýsir	svg3en
frítíðarskúlabørnum	nhfþ	UNKNOWN
.	pl

Fótbóltur	nken
:	pl
12.	ta	UNKNOWN
maður	nken
ætlar	svg3en
at	cn
gera	sng
sítt	feheo
til	aa
,	pk
at	c
Tórsvøllur	nken	UNKNOWN
fer	svg3en
at	cn
kennast	snm
sum	c
veruligur	lkensf
heimavøllur	nken
hjá	af
landsliðnum	nheþg

Undan	af
dystinum	nkeþg
verður	svg3en
møguligt	lhensf
at	cn
fáa	sng
okkurt	fbheo
til	af
matna	n---
og	c
okkurt	fbheo
leskandi	slg
í	af
Bridgehúsinum	nheþg	UNKNOWN
,	pk
og	c
frá	aa
klokkan	nveng
15.00	ta	UNKNOWN
er	svg3en
sølubúðin	nveng
við	af
Tórsvøll	nkeo	UNKNOWN
opin	lvensf
.	pl

Veðrið	nheng
spælir	svg3en
altíð	aa
við	aa
í	af
Føroyum	nvfþ-s	UNKNOWN
,	pk
og	c
tað	fphen
hevur	svg3en	UNKNOWN
eisini	aa
ávirkan	nveo
á	af
,	pk
hvussu	aa
lagið	nheng
er	svg3en
á	af
áskoðaraplássunum	nhfþg	UNKNOWN
.	pl

Tað	fphen
er	svg3en
eitt	fbhen
ómataligt	lhensf	UNKNOWN
fall	nhen
,	pk
tí	c
øll	fbhfn
árini	nhfog
frammaundan	aa	UNKNOWN
hevur	svg3en	UNKNOWN
talið	nheng
verið	sþmhen
støðugt	aa
omanfyri	af
20	ta	UNKNOWN
børn	nhfo
,	pk
onkuntíð	aa
eisini	aa
omanfyri	af
30	ta	UNKNOWN
børn	nhfo
og	c
einstakar	lvfosf
ferðir	nvfo
eisini	aa
omanfyri	af
40	ta	UNKNOWN
børn	nhfo
.	pl

-	pa
Og	c
tað	fphen
ber	svg3en
ikki	aa
til	aa
at	cn
fáa	sng
fólk	nhfo
at	cn
støðast	snm
á	af
einum	fbheþ
plássi	nheþ
,	pk
tá	c
ið	c
tað	fphen
bara	aa
ber	svg3en
til	aa
at	cn
fáa	sng
arbeiði	nheo
ein	fbkeo
,	pk
tveir	tfkfo
dagar	nkfo
um	af
vikuna	nveog
.	pl

-	pa
Vit	fp1fn
,	pk
sum	ct
búgva	svg1fn
í	af
Suðuroynni	nveþgs	UNKNOWN
,	pk
mugu	svg1fn	UNKNOWN
sleppa	sng
at	cn
umsita	sng
okkara	fp1fe
egnu	lhfosf	UNKNOWN
viðurskifti	nhfo
.	pl

Og	c
tað	fphen
mugu	svg3fn	UNKNOWN
verða	sng
fleiri	lvfosm	UNKNOWN
fráferðir	nvfo
enn	aa
nú	aa
.	pl

Kanningar	nkfn
í	af
sambandi	nheþ
við	af
svensku	lveovf	UNKNOWN
0	ta	UNKNOWN
-	pa
loysnina	nveog
staðfesta	svg3fn
,	pk
at	c
ferðin	nveng
er	svg3en
størsta	lhense	UNKNOWN
álvarsmál	nhen
í	af
ferðsluni	nveþg
.	pl

Hetta	fahen
vísa	svg3fn
kanningar	nvfn
hjá	af
landsverkfrøðinginum	nkeþg
í	af
90	ta	UNKNOWN
-	pa
árunum	nhfþg
.	pl

Í	af
hesum	faheþ
sambandi	nheþ
hevur	svg3en	UNKNOWN
plombering	nven	UNKNOWN
verið	sþmhen
nevnd	sþmven
sum	c
ein	fbken
møguleiki	nken
til	af
tess	fphee
at	cn
gera	sng
tað	fpheo
ómøguligt	lheosf
at	cn
ferðast	snm
ov	aa
skjótt	aa
í	af
bili	nkeþ
.	pl

-	pa
Spurningurin	nkeng
um	af
plombering	nveo	UNKNOWN
er	svg3en
kærkomin	lkensf
.	pl

Tískil	aa
loysir	svg3en
tað	fphen
seg	fpheo
ikki	aa
at	cn
keypa	sng
eitt	fbheo
annað	fbheo
brúkt	sþmheo
skip	nheo
,	pk
men	c
neyðugt	lhensf
er	svg3en
heldur	aam
at	cn
byggja	sng
nýtt	lhensf
.	pl

-	pa
Tað	fphen
er	svg3en
eitt	fbhen
ógvuliga	aa
tungt	lhensf
tak	nhen
í	af
Føroyum	nvfþ-s	UNKNOWN
at	cn
fara	sng
undir	aa
at	cn
byggja	sng
nýtt	lheosf
skip	nheo
.	pl

-	pa
Tað	fphen
er	svg3en
eingin	fbken
trupulleiki	nken
at	cn
fáa	sng
fígging	nveo
til	af
eitt	fbheo
nýtt	lheosf
skip	nheo
,	pk
men	c
trupult	lhensf
verður	svg3en
at	cn
gjalda	sng
hana	fpveo
aftur	aa
.	pl

Hann	fpken
var	svg3eþ
profetur	nken
,	pk
sum	c
aðrir	fbkfn
profetar	nkfn
.	pl

Vónleyst	lhensf
.	pl

Tær	fpvfn
eru	svg3fn	UNKNOWN
setstar	sþgvfn
við	af
pallborðið	nheog
.	pl

misskiljingarnar	nvfng
eru	svg3fn	UNKNOWN
nógvar	lvfnsf
.	pl

Hon	fpven
søkti	svg3eþ
inn	aa
á	af
læknalesturin	nkeog	UNKNOWN
,	pk
og	c
slapp	svg3eþ
inn	aa
.	pl

-	pa
So	aa
skuldi	svg3eþ	UNKNOWN
eg	fp1en
velja	sng
,	pk
um	c
eg	fp1en
vildi	svg1eþ	UNKNOWN
taka	sng
eina	fbveo
drúgva	lveosf
útbúgving	nveo
,	pk
sum	c
læknaútbúgvingin	nveng	UNKNOWN
er	svg3en
,	pk
ella	c
um	c
eg	fp1en
skuldi	svg1eþ	UNKNOWN
velja	sng
familjuna	nveog
framum	aa
.	pl

Tó	aa
,	pk
ein	fbken
munur	nken
var	svg3eþ
kortini	aa
,	pk
at	c
Sólmai	nven-s	UNKNOWN
og	c
muslimski	lkenvf	UNKNOWN
maður	nken
hennara	fpvee
búðu	svg3fþ
heima	aa
í	af
Føroyum	nvfþ-s	UNKNOWN
nøkur	fbhfo
ár	nhfo
,	pk
áðrenn	c
tey	fphfn
fluttu	svg3fþ
til	af
Danmarkar	nhee-s	UNKNOWN
.	pl

Og	c
tær	fpvfn
gjørdust	svm3fþ	UNKNOWN
»	pg	UNKNOWN
bitnar	lvfnsf	UNKNOWN
«	pg	UNKNOWN
av	af
islamisku	lveþvf	UNKNOWN
trúnni	nveþg
.	pl

Amina	nven-s	UNKNOWN
Poulsen	n----s	UNKNOWN
,	pk
Anna	nven-s	UNKNOWN
Katrin	nven-s	UNKNOWN
Lamhauge	n----s	UNKNOWN
og	c
Sólmai	nven-s	UNKNOWN
Johannesen	n----s	UNKNOWN
eru	svg3fn	UNKNOWN
sannførdar	sþgvfn	UNKNOWN
um	af
,	pk
at	c
Jesus	nken-s	UNKNOWN
ikki	aa
er	svg3en
ella	c
var	svg3eþ
sonur	nken
Guds	nkee-s
.	pl

Sostatt	aa
venda	svg3fn
tær	fpvfn
tríggjar	tfvfn	UNKNOWN
eisini	aa
Trýeinigheitini	nveþg	UNKNOWN
bakið	nheog
.	pl

Sambært	af
henni	fpveþ
kann	svg3en
ongantíð	aa
vera	sng
talan	nven
um	af
nakra	fbveo	UNKNOWN
arvasynd	nveo
.	pl

2.	ta	UNKNOWN
Bønirnar	nvfng
til	af
Allah	nkeo-s	UNKNOWN
-	pa
minst	aae
fimm	tf
ferður	nvfo	UNKNOWN
um	af
dagin	nkeog
.	pl

Leggja	sng
áherðslu	nveo
á	af
,	pk
hvussu	aa
stóran	lkeosf
týdning	nkeo
tað	fphen
hevur	svg3en	UNKNOWN
fyri	af
tær	fpvfo
,	pk
at	c
børn	nhfn
teirra	fpvfe
verða	svg3fn
ald	sþghfn	UNKNOWN
upp	aa
í	af
einum	fbheþ
muslimskum	lheþsf
heimi	nheþ
-	pa
í	af
muslimskum	lheþsf
umhvørvi	nheþ
.	pl

Hann	fpken
er	svg3en
hægstur	lkense	UNKNOWN
,	pk
og	c
hevur	svg3en	UNKNOWN
seinasta	lheove
orðið	nheog
.	pl

Nógv	lhensf
hevur	svg3en	UNKNOWN
verið	sþmhen
frammi	aa
um	af
,	pk
at	c
serliga	aa
ungar	lvfnsf
gentur	nvfn
í	af
muslimskum	lvfþsf
familjum	nvfþ
verða	svg3fn
útstoyttar	sþgvfn	UNKNOWN
,	pk
gera	svg3fn
tær	favfn
ikki	aa
júst	aa
sum	c
foreldrini	nhfng
vilja	svg3fn
.	pl

Tøgn	nveng
.	pl

Tað	fphen
,	pk
sum	ct
vesturlendingar	nkfn
serliga	aa
tengja	svg3fn	UNKNOWN
saman	aa
við	af
islam	nheog
og	c
muslimar	nkfo
,	pk
er	svg3en
búnin	nkeng
,	pk
kvinnurnar	nvfng
ganga	svg3fn
í	aa
.	pl

Eisini	aa
í	af
heimunum	nhfþg
hjá	af
føroysku	lkfþvf	UNKNOWN
muslimunum	nkfþg
.	pl

So	aa
eg	fp1en
haldi	svg1en
tað	fpheo
vera	sng
í	af
fínasta	lheþse	UNKNOWN
lagi	nheþ
,	pk
at	c
vit	fp1fn
krevja	svg3fn
at	cn
hava	sng
loyvi	nheo
at	cn
ganga	sng
við	af
turriklæði	nheþ
um	af
høvdið	nheog
til	af
arbeiðis	nhee
,	pk
sigur	svg3en
Amina	nven-s	UNKNOWN
Poulsen	n----s	UNKNOWN
.	pl

At	cn
fletta	sng
seyð	nkeo
,	pk
tað	fphen
so	aa
stuttligt	lhensf
er	svg3en

Stór	lvensf
kapping	nven

Heldur	aam
gott	lhensf
kjøt	nhen

Men	c
tað	fphen
skal	svg3en
takast	snm	UNKNOWN
við	af
fyrivarni	nheþ
,	pk
tí	c
tað	fphen
er	svg3en
eisini	aa
neyðugt	lhensf
at	cn
passa	sng
sær	fpkeþ
løgir	nhfo
til	af
terra	nkeo
.	pl

Veðrar	nkfn
kunnu	svg3fn	UNKNOWN
verða	svg3fn
tungir	lkfnsf
at	cn
tumma	sng
,	pk
tí	c
skinnið	nheng
situr	svg3en
so	aa
fast	aa
.	pl

Sperðilin	nkeng
er	svg3en
nakað	fbhen
fyri	af
seg	fpkeo

Summi	fbhfn
steikja	svg3fn
eisini	aa
sperðilin	nkeog
feskan	lkeosf
og	c
hava	svg3fn
brúna	lveosf
sós	nveo
afturvið	aa

Fólk	nhfn
ganga	svg3fn
kjallara	nkeo
úr	af
kjallara	nkeþ
at	cn
forvitnast	snm
og	c
práta	sng
,	pk
reypa	sng
og	c
fortelja	sng
tíðindi	nhfo
,	pk
og	c
kjakast	snm
verður	svg3en
aftur	aa
og	c
fram	aa
um	af
,	pk
hví	aa
ein	fbken
veðrur	nken
ella	c
eitt	fbhen
lamb	lhensf
hilnaðist	svg3eþ
betur	aa
hjá	af
einum	fbkeþ
,	pk
enn	aa
hjá	af
einum	fbkeþ
øðrum	fbkeþ
,	pk
ella	c
um	af
,	pk
hví	aa
onkur	fbken
annar	fbken
veðrur	nken
ikki	aa
mundi	svg3eþ
blíva	sng
so	aa
góður	lkensf
.	pl

Tær	favfn
fáu	lvfnvf	UNKNOWN
RAM	ks	UNKNOWN
eindirnar	nvfng
,	pk
sum	ct
eru	svg3fn	UNKNOWN
til	aa
at	cn
fáa	sng
hendur	nvfo
á	af
í	af
landinum	nheþg
enn	aa
kosta	svg3fn
nu	aa	UNKNOWN
nærum	aa
1.400	ta	UNKNOWN
krónur	nvfo
.	pl

Veruleiki	nken
er	svg3en
tað	fphen
tó	aa
,	pk
at	c
eitt	fbhen
standard	e
DRAM	e	UNKNOWN
-	pa
produkt	nhen	UNKNOWN
,	pk
sum	ct
mánadagin	nkeog
fyri	af
góðari	lveþsf
viku	nveþ
síðani	aa
kostaði	svg3eþ
13	ta	UNKNOWN
dollarar	nkfo
eftir	af
heilt	aa
fáum	lkfþsf
døgum	nkfþ
var	svg3eþ
hækkað	sþmhen
til	af
18	ta	UNKNOWN
dollarar	nkfo
fyri	af
eintakið	nheþ
.	pl

Umframt	af
hetta	faheo
vera	sng
umleið	aa
70	tp	UNKNOWN
prosent	nhfn
av	af
øllum	fbvfþ
farteldum	nvfþ
eisini	aa
savnaðar	sþghfn
í	af
Taiwan	nheþ-s	UNKNOWN
.	pl

Fyri	af
nøkrum	fbkfþ
mánaðum	nkfþ
síðani	aa
kom	svg3eþ
fram	aa
,	pk
at	c
SEV	ks
hevði	svg3eþ	UNKNOWN
fingið	sþmhen	UNKNOWN
durafjórðingin	nkeog
frá	af
stóra	lkeþvf
danska	lkeþvf
vindmylluframleiðaranum	nkeþg	UNKNOWN
NEG	ks	UNKNOWN
Micon	e	UNKNOWN
.	pl

Trupulleikar	nkfn
í	af
Amerika	nheþ-s	UNKNOWN

NEG	ks	UNKNOWN
Micon	e	UNKNOWN
er	svg3en
ein	fbven
samansett	sþmven
fyritøka	nven
,	pk
av	af
tveimum	tfvfþ
stórumdonskum	x	UNKNOWN
myllufyritøkum	nvfþ	UNKNOWN
.	pl

Felagið	nheng
sigur	svg3en
í	af
skrivi	nheþ
,	pk
at	c
tað	fphen
eru	svg3fn	UNKNOWN
lønarviðurskiftini	nhfng	UNKNOWN
,	pk
sum	ct
eru	svg3fn	UNKNOWN
orsøkin	nveng
til	af
hesa	faveo
avgerð	nveo
.	pl

Við	aa
at	cn
økja	sng
játtanina	nveog
til	af
fólkaskúlan	nkeog
,	pk
kann	svg3en
løgtingið	nheng
loysa	sng
málið	nheog
sigur	svg3en
Føroya	nvfe-s	UNKNOWN
Lærarafelag	nhen
.	pl

-	pa
Allarhelst	aae	UNKNOWN
verður	svg3en
túrurin	nkeng
á	af
Vág	nkeo-s
mikudag	nkeo
,	pk
men	c
tað	fphen
er	svg3en
ikki	aa
endaliga	aa
avgjørt	sþmhen
enn	aa
.	pl

Hergeir	nken-s	UNKNOWN
Nielsen	n----s	UNKNOWN
sigur	svg3en
,	pk
at	c
hann	fpken
umrøddi	svg3eþ	UNKNOWN
eisini	aa
ta	faveo
óhepnu	lveovf	UNKNOWN
støðu	nveo
,	pk
sum	ct
mangan	aa
tók	svg3eþ
seg	fpveo
upp	aa
um	af
morgnarnar	nkfog
,	pk
at	c
tá	c
ið	c
Smyril	nken
kom	svg3eþ
á	af
Havnina	nveogs
,	pk
slapp	svg3eþ
ikki	aa
at	af
bryggju	nveþ
beinanvegin	aa
,	pk
men	c
mátti	svg3eþ
liggja	sng	UNKNOWN
í	af
Nólsoyarfirði	nkeþ-s	UNKNOWN
og	c
bíða	sng
.	pl

-	pa
Vinna	svg3fn
vit	fp1fn
ikki	aa
móti	af
ÍF	ks	UNKNOWN
á	af
heimavølli	nkeþ
,	pk
so	aa
eru	svg1fn	UNKNOWN
vit	fp1fn
ikki	aa
verdugir	lkfnsf
at	cn
vinna	sng
FM	ks	UNKNOWN
.	pl

Jan	nken-s	UNKNOWN
Allan	nken-s
Müller	n----s	UNKNOWN
hevur	svg3en	UNKNOWN
vant	sþmhen
millum	af
lítið	lheosf
og	c
einki	fbheo
saman	aa
við	af
hinum	fakfþ
,	pk
síðani	aa
hann	fpken
kom	svg3eþ
til	af
Klaksvíkar	nvee-s	UNKNOWN
,	pk
men	c
hann	fpken
hevur	svg3en	UNKNOWN
spælt	sþmhen
hvørja	fsveo
ferð	nveo
,	pk
sjálvt	aa
um	c
tað	fphen
hevur	svg3en	UNKNOWN
verið	sþmhen
týðuligt	lhensf
,	pk
at	c
skaðin	nkeng
í	af
búkvøddunum	nkfþg
hevur	svg3en	UNKNOWN
darvað	sþmhen
.	pl

Símun	nken-s	UNKNOWN
Eliasen	n----s	UNKNOWN
var	svg3eþ
í	af
Fuglafirði	nkeþ-s	UNKNOWN
og	c
hjálpti	svg3eþ
til	aa
síðsta	lkeove
sunnudag	nkeo
.	pl

Tað	fphen
er	svg3en
Kongaliga	lhenvf
Kapellið	nheng
,	pk
sum	ct
eigur	svg3en
hesa	faveo
violinina	nveog
.	pl

Danski	lkenvf
strúkarin	nkeng
hevði	svg3eþ	UNKNOWN
ikki	aa
hug	nkeo
at	cn
spæla	sng
sjálvur	foken
,	pk
men	c
hann	fpken
hevði	svg3eþ	UNKNOWN
einki	fbheo
ímóti	af
,	pk
at	c
violinin	nveng
hjá	af
honum	fpkeþ
varð	svg3eþ	UNKNOWN
handað	sþmven
millum	af
fólkini	nhfog
,	pk
bæði	aa
leik	lhfosf
og	c
lærd	lhfosf
.	pl

Andras	nken-s	UNKNOWN
L	x
.	pl

Gundadalshøllin	nveng	UNKNOWN
í	af
Havn	nveþ-s
verður	svg3en
í	af
dag	nkeo
karmur	nken
um	af
stóra	lkeovf
føðingardagin	nkeog
hjá	af
dagrøktini	nveþg

Undan	af
henni	fpveþ
hava	svg3fn
Annika	nven-s	UNKNOWN
Nielsen	n----s	UNKNOWN
og	c
Ingrid	nven-s	UNKNOWN
Midjord	n----s	UNKNOWN
verið	sþmhen
leiðarar	nkfo
,	pk
ávikavist	aa
í	af
10	ta	UNKNOWN
og	c
12	ta	UNKNOWN
ár	nhfo
.	pl

Sambært	af
álitinum	nheþg
um	af
barnaansingina	nveog
í	af
Tórshavnar	nvee-s	UNKNOWN
kommunu	nveþ
,	pk
sum	ct
varð	svg3eþ	UNKNOWN
gjørt	sþmhen
í	af
1996	ta	UNKNOWN
,	pk
skal	svg3en
dagrøktin	nveng
mennast	snm
.	pl

Í	af
vikuskiftinum	nheþg
skipaði	svg3eþ
Føroya	nvfe-s	UNKNOWN
Ungdómsráð	nhen	UNKNOWN
í	af
samstarvi	nheþ
við	af
Unga	lheovf
Tjóðveldið	nheog
og	c
Ungmannafelagið	nheog
Samband	nheo
fyri	af
ráðstevnu	nveþ
um	af
Framtíð	nveo
Føroya	nvfe-s	UNKNOWN
.	pl

Fólkatingið	nheng
og	c
danska	lvenvf
stjórnin	nveng
.	pl

Her	aa
kundu	svg1fþ	UNKNOWN
vit	fp1fn
lagt	sþmhen
afturat	aa
,	pk
at	c
onkuntíð	aa
eru	svg3fn	UNKNOWN
tríggir	tfkfn
læknar	nkfn
á	af
tingi	nheþ
!	pl

Hann	fpken
kom	svg3eþ
ikki	aa
nærri	aam
hesari	faveþ
staðfesting	nveþ
.	pl

Skeiv	lhensf
tíðindi	nhfn

Fyri	aa
at	cn
fáa	sng
fíggjarlógirnar	nvfog
at	cn
síggja	sng
snøggar	lvfosf
út	aa
við	af
stórum	lheþsf
yvirskoti	nheþ
,	pk
verður	svg3en
altíð	aa
ov	aa
lítið	lhensf
sett	sþmhen
av	aa
til	af
ymisku	lvfovf
ætlanirnar	nvfog
.	pl

-	pa
Tað	fphen
er	svg3en
ongin	fbven
loysn	nven
at	cn
seta	sng
ein	fbkeo
veðurfrøðing	nkeo
í	af
Føroyum	nvfþ-s	UNKNOWN
.	pl

Ongin	fbven
loysn	nven

-	pa
Tær	favfn
forsagnirnar	nvfng
eru	svg3fn	UNKNOWN
sera	aa
neyvar	lvfnsf
og	c
akkurátar	lvfnsf
.	pl

Men	c
tað	fphen
kemur	svg3en
altíð	aa
fyri	aa
,	pk
at	c
veðurforsagnirnar	nvfng	UNKNOWN
ikki	aa
passa	svg3fn
heilt	aa
.	pl

Tað	fphen
byrjaði	svg3eþ
við	af
,	pk
at	c
teir	fpkfn
stóðu	svg3fþ
og	c
flettu	svg3fþ
í	af
kjallaranum	nkeþg
.	pl

Tað	fphen
er	svg3en
neyðugt	lhensf
at	cn
finna	sng
eina	fbveo
vøru	nveo
,	pk
sum	ct
selur	svg3en
,	pk
áðrenn	c
tú	fp2en	UNKNOWN
fert	svg2en
í	af
holt	nkeo
við	af
framleiðsluna	nveog
,	pk
sigur	svg3en
Magni	nken-s
Laksáfoss	nkeo-s	UNKNOWN
.	pl

Fyrsti	lkenve	UNKNOWN
barnaskógvurin	nkeng
er	svg3en
gjørdur	sþmken
og	c
farin	sþmken	UNKNOWN
í	af
framleiðslu	nveo
.	pl

Hugsanin	nveng
hjá	af
okkum	fp1fþ
er	svg3en
avgjørt	sþmhen
at	cn
brúka	sng
føroysk	lvfosf
skinn	nvfo
,	pk
tað	fphen
var	svg3eþ
jú	aa	UNKNOWN
upprunaliga	aa
tí	aa
,	pk
vit	fp1fn
fóru	svg3fþ
undir	af
hetta	faheo
.	pl

Handlar	nkfn
og	c
sølubúðir	nvfn
kunnu	svg3fn	UNKNOWN
venda	sng
sær	fphfþ
til	af
Magna	nkeo-s
Laksáfoss	nkeo-s	UNKNOWN
á	af
tlf.	kt	UNKNOWN
422594	ta	UNKNOWN
fyri	aa
at	cn
fáa	sng
hendur	nvfo
á	af
vøruni	nveþg
.	pl

-	pa
Spurningurin	nkeng
í	af
hvussu	aa
stóran	lkeosf
mun	nkeo
vit	fp1fn
vera	svg3fn
við	aa
í	af
arbeiðinum	nheþg
er	svg3en
ein	fbken
spurningur	nken
um	af
,	pk
hvussu	aa
nógv	lhensf
vit	fp1fn
kunnu	svg1fn	UNKNOWN
semjast	snm	UNKNOWN
við	af
myndugleikarnar	nkfog
um	af
,	pk
sigur	svg3en
leiðarin	nkeng
á	af
Landsverkfrøðingsstovninum	nkeþg	UNKNOWN
.	pl

Eiga	svg3fn
at	cn
vera	sng
varin	lhfnsf
og	cn
býta	sng
váðan	nkeog

Meðan	c
vit	fp1fn
hava	svg1fn
hoyrt	sþmhen
rættiliga	aa
nógv	aa
til	af
Atlants	n-ee	UNKNOWN
Kolvetni	nheo
,	pk
sum	ct
millum	af
føroyingar	nkfo
er	svg3en
vorðið	sþmhen
eitt	fbheo
slag	nheo
av	af
fólksins	nheeg
oljufelag	nheþ
við	af
meira	aam
enn	aa
2000	ta	UNKNOWN
partaeigarum	nkeþ
og	c
meira	aam
enn	aa
46	ta	UNKNOWN
mill	ks	UNKNOWN
.	pl

Í	af
dag	nkeo
hevur	svg3en	UNKNOWN
Føroya	nvfe-s	UNKNOWN
Kolvetni	nhen
3	ta	UNKNOWN
mill	ks	UNKNOWN
.	pl

kr.	kt	UNKNOWN
Tey	fahfn
flestu	lhfnve	UNKNOWN
,	pk
sum	ct
settu	svg3fþ
pengar	nkfo
í	aa
,	pk
vórðu	svg3fþ	UNKNOWN
lokalir	fbkfn	UNKNOWN
bóndur	nkfn	UNKNOWN
.	pl

Heldur	aam
hava	sng
ein	fbkeo
møguleika	nkeo
í	af
10	ta	UNKNOWN
holum	nhfþ
og	c
har	aa
hava	sng
10	tp	UNKNOWN
%	m
tjans	nkeo	UNKNOWN
,	pk
enn	aa
100	tp	UNKNOWN
%	m
tjans	nkeo	UNKNOWN
í	af
einum	fbkeþ
holi	nkeþ
.	pl

Tað	fphen
er	svg3en
eingin	fbven
loyna	nven
,	pk
at	c
Graham	nken-s	UNKNOWN
Stewart	n----s	UNKNOWN
heldur	svg3en
,	pk
at	c
skipanin	nveng
við	af
Føroya	nvfe-s	UNKNOWN
Kolvetni	nheþ
er	svg3en
tað	fahen
rætta	lhenvf
modellið	nheng	UNKNOWN
.	pl

Og	c
tað	fphen
meina	svg3fn
vit	fp1fn
er	svg3en
týdningarmikið	lhensf
.	pl

Tá	aa
spjaðir	svg2en
tú	fp2en	UNKNOWN
váðan	nkeog
.	pl

Graham	nken-s	UNKNOWN
Stewart	n----s	UNKNOWN
heldur	svg3en
,	pk
at	c
tað	fphen
kann	svg3en
ikki	aa
verða	sng
sagt	sþmhen
ov	aa
oftani	aa
,	pk
at	c
vit	fp1fn
eiga	svg1fn
at	cn
vera	sng
varin	lhfnsf
.	pl

Føroya	nvfe-s	UNKNOWN
Kolvetni	nhen
hevur	svg3en	UNKNOWN
sum	c
er	svg3en
ongar	fbvfo
royndir	nvfo
ella	c
fígging	nveo
til	aa
at	cn
keypa	sng
beinleiðis	aa
vitan	nveo
innan	af
oljuvinnu	nveo
,	pk
sum	ct
skal	svg3en
til	aa
fyri	aa
at	cn
koma	sng
víðari	aam
.	pl

So	aa
hvørt	fbheo
klokkuni	nveþg
nærkaðist	svm3eþ	UNKNOWN
midnátt	nveþ
vaks	svg3eþ
mannamúgvan	nveng
.	pl

Krevur	svg3en
sín	fpkeo
mann	nkeo

Hann	fpken
byrjar	svg3en
kvæðið	nheog
ella	c
vísuna	nveog
,	pk
og	c
hann	fpken
byrjar	svg3en
øll	fbhfo
ørindini	nhfog
.	pl

Fyrr	aam
í	af
tíðini	nveþg
var	svg3eþ
vanligt	lhensf
,	pk
at	c
kvøðið	sþmhen	UNKNOWN
varð	svg3eþ	UNKNOWN
heima	aa
við	af
hús	nheo
um	af
kvøldarnar	nhfog	UNKNOWN
,	pk
tá	c
fólk	nhfn
sótu	svg3fþ
í	af
roykstovuni	nveþg
,	pk
hvør	fbken
við	af
sínum	fpkeþ
arbeiði	nheþ
.	pl

Í	af
dag	nkeo
er	svg3en
vanligt	lhensf
,	pk
at	c
farið	sþmhen
verður	svg3en
upp	aa
á	af
gólv	nheo
í	af
skúlunum	nkfþg
,	pk
og	c
munnu	svg3fn	UNKNOWN
tað	fphen
vera	svg3fn
fá	lhfnsf
børn	nhfn
,	pk
sum	ct
ikki	aa
taka	svg3fn
lut	nkeo
í	af
hesum	faheþ
aldargamla	lheþsf
og	c
fyri	aa
Føroyar	nvfo-s	UNKNOWN
serstaka	aa
siði	nkeþ
.	pl

-	pa
Tað	fphen
er	svg3en
burturvið	aa
av	af
Jenisi	nkeþ-s	UNKNOWN
at	cn
krevja	sng
eina	fbveo
umbering	nveo
frá	af
løgmanni	nkeþ
.	pl

-	pa
Ein	fbken
og	c
hvør	fbken
politiskur	lkensf
leiðari	nken
hevur	svg3en	UNKNOWN
eina	fbveo
ábyrgd	nveo
at	cn
luttaka	sng
,	pk
tá	c
hann	fpken
verður	svg3en
spurdur	sþmken	UNKNOWN
,	pk
og	c
hóast	c
eg	fp1en
ikki	aa
í	af
løtuni	nveþg
kann	svg3en
siga	sng
,	pk
hvørt	c
eg	fp1en
hevði	svg1eþ	UNKNOWN
sagt	sþmhen
ja	au
ella	c
ikki	aa
,	pk
um	c
eg	fp1en
var	svg1eþ
í	af
hesi	faveþ
støðuni	nveþg
,	pk
er	svg3en
einki	fbhen
skeivt	lhensf
við	af
at	cn
tosa	sng
um	af
tolsemi	nheo
og	c
javnbjóðis	af
rættindi	nhfo
til	af
allar	fbkfo
borgarar	nkfo
,	pk
sigur	svg3en
Kaj	nken-s	UNKNOWN
Leo	nken-s	UNKNOWN
.	pl

Gerhard	nken-s	UNKNOWN
Lognberg	nhen-s	UNKNOWN
heldur	svg3en
,	pk
at	c
røðan	nveng
hjá	af
løgmanni	nkeþ
og	c
kjakið	nheng
sum	c
heild	nven
er	svg3en
misvísandi	lo
.	pl

Óhappið	nheng
hendi	svg3eþ
á	af
Høvdaheygavegnum	nkeþ	UNKNOWN
.	pl

Borgarin	nkeng
skal	svg3en
bert	aa
seta	sng
tveir	tfkfo
krossar	nkfo
,	pk
heldur	aam
enn	aa
ein	tfkeo
.	pl

Hesum	faheþ
stúrir	svg3en
Heðin	nken-s	UNKNOWN
Mortensen	n----s	UNKNOWN
kortini	aa
ikki	aa
fyri	aa
.	pl

-	pa
Í	af
hesum	faheþ
føri	nheþ
var	svg3eþ
greiður	lkensf
meiriluti	nken
fyri	af
,	pk
at	c
Lisbeth	nven-s	UNKNOWN
skuldi	svg3eþ	UNKNOWN
halda	sng
fram	aa
,	pk
men	c
kortini	aa
endaði	svg3eþ
hon	fpven
uttanfyri	aa
.	pl

Nýggj	lhfnsf
høli	nhfn
